"[-0.13752227, -0.18514687, -0.2638322, -0.3141858, -0.22796264, -0.32928315, -0.33501974, -0.28408474, -0.25440577, -0.3566802]","[0.0613725, 0.007634493, 0.08933938, 0.054189995, 0.02989458, 0.018807579, 0.0344161, 0.044368945, 0.039690085, 0.05031351]","[(50.0, 50.0)]"
"[-0.07862154, -0.013894078, 0.014817056, 0.03459321, 0.037462607, -0.16485874, 0.015235201, 0.05485061, 0.015610716, -0.029893763]","[0.0461143, 0.034721773, 0.051009137, 0.06950229, 0.04302514, 0.038221095, 0.015806442, 0.036483333, 0.032567594, 0.054146435]","[(656.0, 50.0)]"
"[0.07190216, 0.13193658, 0.11171632, 0.055633333, 0.111528724, 0.054769833, 0.06695122, 0.07202066, 0.12577921, 0.097319916]","[-0.042269304, -0.017204868, -0.009494376, -0.0048697637, 0.004532156, 0.0004307954, -0.03835883, -0.019520026, -0.028834047, -0.0045000585]","[(1263.0, 50.0)]"
"[0.23379502, 0.25205344, 0.24281254, 0.17476803, 0.22060531, 0.2088179, 0.19367738, 0.2515589, 0.25155818, 0.26438415]","[-0.045733377, -0.04555672, -0.032865554, -0.040907692, -0.042112935, -0.06002942, -0.046830446, -0.04104791, -0.030185683, -0.026253201]","[(1870.0, 50.0)]"
"[-0.29213277, -0.18789746, -0.27137282, -0.3560839, -0.12829788, -0.2939765, -0.24932446, -0.3440793, -0.17350732, -0.36032265]","[-0.05259389, -0.08298146, -0.051092014, -0.035618708, -0.057815008, -0.09400146, -0.12336772, -0.042327233, -0.042912774, -0.08457044]","[(50.0, 376.0)]"
"[-0.13145378, 0.04836068, -0.06423655, -0.30484146, 0.08922009, -0.20167616, -0.16231512, -0.16946782, -0.065186866, -0.07307824]","[-0.06818078, -0.10502169, -0.051908, -0.026735755, -0.09311511, -0.09696023, -0.094426334, -0.07075617, -0.04030654, -0.058268808]","[(656.0, 376.0)]"
"[0.069721684, 0.090323985, 0.10553113, -0.012958945, 0.12532914, 0.04248055, 0.06360642, 0.04202791, 0.09447374, 0.052972328]","[-0.11982897, -0.10433612, -0.089723475, -0.08922121, -0.09296359, -0.11604111, -0.13172634, -0.10028329, -0.10806382, -0.08668345]","[(1263.0, 376.0)]"
"[0.19547826, 0.18611921, 0.26417992, 0.11436843, 0.25626788, 0.18326053, 0.1918499, 0.23017313, 0.29959905, 0.18580002]","[-0.13174085, -0.091294214, -0.083767176, -0.10528132, -0.09241753, -0.11386026, -0.11726277, -0.11988673, -0.09471278, -0.09929888]","[(1870.0, 376.0)]"
"[-0.38533795, -0.28767487, -0.29093754, -0.54393435, -0.018198581, -0.30738312, -0.34096938, -0.40963173, -0.24338579, -0.32096407]","[-0.14030649, -0.13465829, -0.14354618, -0.12112639, -0.18759193, -0.20276086, -0.233299, -0.16103058, -0.14996943, -0.17755444]","[(50.0, 703.0)]"
"[-0.28276706, -0.33539808, -0.124684654, -0.4577772, 0.07366142, -0.28552777, -0.24992423, -0.29514262, -0.14253905, -0.1730198]","[-0.16481331, -0.16027677, -0.09231552, -0.15308271, -0.16592394, -0.18582834, -0.18375848, -0.14643091, -0.12749934, -0.12593873]","[(656.0, 703.0)]"
"[0.043179516, 0.0042603454, 0.12248066, -0.038700983, 0.09192114, 0.040877428, 0.047893047, 0.033291962, 0.12214646, 0.05590285]","[-0.21426511, -0.20152135, -0.113932684, -0.18532869, -0.14028527, -0.2158238, -0.2121554, -0.19445676, -0.15153788, -0.14623256]","[(1263.0, 703.0)]"
"[0.24892761, 0.17700861, 0.283976, 0.17063095, 0.2833428, 0.20875402, 0.21575998, 0.2738079, 0.30804113, 0.30048537]","[-0.20057277, -0.18558969, -0.12830521, -0.16177724, -0.16836296, -0.1770074, -0.20729838, -0.17322819, -0.14934602, -0.15683374]","[(1870.0, 703.0)]"
"[-0.4512749, -0.40119365, -0.48070028, -0.53762496, -0.18377565, -0.34721196, -0.32860616, -0.344427, -0.45151377, -0.29135314]","[-0.2656581, -0.26234233, -0.2539984, -0.23832682, -0.2874184, -0.29132965, -0.3129977, -0.33081955, -0.27895972, -0.2970382]","[(50.0, 1030.0)]"
"[-0.190835, -0.12624761, -0.015929164, -0.33237508, -0.042676505, -0.22369862, -0.024351029, -0.00077819335, -0.09666869, -0.027249126]","[-0.23666243, -0.2662215, -0.2831764, -0.25730887, -0.26996553, -0.27828953, -0.3171639, -0.2592538, -0.24838547, -0.23763274]","[(656.0, 1030.0)]"
"[0.044380788, 0.08281572, 0.1739371, 0.001093961, 0.1032475, 0.10679626, 0.13645555, 0.1399944, 0.17610992, 0.11523779]","[-0.27348685, -0.25671932, -0.25063488, -0.25760534, -0.23628642, -0.28834856, -0.30012858, -0.27269843, -0.3118913, -0.22597209]","[(1263.0, 1030.0)]"
"[0.26062796, 0.28269464, 0.317823, 0.24948248, 0.3540771, 0.27238554, 0.25538984, 0.4091275, 0.3867324, 0.40740964]","[-0.2447731, -0.27963778, -0.2604816, -0.24305625, -0.27360448, -0.2757254, -0.28354245, -0.31556556, -0.24951844, -0.30613506]","[(1870.0, 1030.0)]"
